AMD Ryzen 7 3700X 8-Core Processor             
omp 16 threads
                 MulAdd
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
[       len]  seq[MOPS]    par/seq OpenMP/seq
[        32]   1.25E+05       0.01       0.16
[        64]   2.50E+05       0.11       0.18
[       128]   1.43E+05       0.16       0.26
[       256]   1.25E+05       0.16       0.27
[       512]   6.67E+04       0.19       0.52
[      1024]   4.55E+04       0.30       0.84
[      2048]   2.94E+04       0.49       1.27
[      4096]   1.39E+04       0.97       1.77
[      8192]   8.62E+03       0.48       1.92
[     16384]   6.67E+03       0.23       1.92
[     32768]   3.98E+03       0.43       2.22
[     65536]   2.23E+03       0.72       2.29
[    131072]   1.30E+03       1.65       2.53
[    262144]   6.71E+02       2.13       2.87
[    524288]   3.45E+02       4.03       2.07
[   1048576]   1.74E+02       3.00       1.38
[   2097152]   8.03E+01       2.61       1.30
[   4194304]   3.50E+01       1.21       2.16
[   8388608]   1.40E+01       1.44       1.47
[  16777216]   6.18E+00       1.44       1.28
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                                 
                  exp
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
[       len]  seq[MOPS]    par/seq OpenMP/seq
[        32]   1.14E+04       0.53       0.23
[        64]   9.09E+04       0.17       0.31
[       128]   6.25E+04       0.18       0.50
[       256]   3.33E+04       0.17       1.17
[       512]   1.85E+04       0.25       2.35
[      1024]   1.00E+04       0.54       2.61
[      2048]   4.81E+03       0.94       4.20
[      4096]   2.53E+03       1.61       5.12
[      8192]   9.60E+02       3.48       9.38
[     16384]   6.80E+02       3.43       6.90
[     32768]   3.51E+02       4.12       7.36
[     65536]   1.78E+02       4.51       7.46
[    131072]   8.00E+01       5.66       8.35
[    262144]   4.48E+01       4.44       7.53
[    524288]   2.25E+01       6.77      12.34
[   1048576]   1.10E+01       6.76      13.70
[   2097152]   5.51E+00       6.19      13.10
[   4194304]   2.72E+00       6.34       7.59
[   8388608]   1.29E+00       7.21      12.64
[  16777216]   6.13E-01      12.31      10.96
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                                 
             SqrtExpSinCos
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
[       len]  seq[MOPS]    par/seq OpenMP/seq
[        32]   6.76E+03       0.89       1.42
[        64]   3.57E+04       0.18       0.71
[       128]   1.96E+04       0.33       2.00
[       256]   1.01E+04       0.53       2.80
[       512]   5.21E+03       0.67       5.65
[      1024]   2.60E+03       1.47       2.40
[      2048]   1.31E+03       2.82      10.47
[      4096]   6.55E+02       3.58      12.93
[      8192]   3.28E+02       4.82      13.72
[     16384]   1.64E+02       5.38      14.26
[     32768]   8.13E+01       5.29       9.26
[     65536]   4.09E+01       4.44      14.52
[    131072]   2.00E+01       4.70      14.82
[    262144]   1.03E+01       4.62      14.33
[    524288]   5.07E+00       4.65      12.69
[   1048576]   2.53E+00       7.17       7.59
[   2097152]   1.25E+00       6.62      13.23
[   4194304]   6.40E-01      13.55      12.48
[   8388608]   3.21E-01      12.81      12.38
[  16777216]   1.49E-01      12.37      11.86
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                                 
