AMD Ryzen 7 3700X 8-Core Processor             
omp 16 threads
                 MulAdd
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
[       len]  seq[MOPS]    par/seq OpenMP/seq
[        32]   5.99E+05       0.02       0.00
[        64]   1.96E+05       0.03       0.19
[       128]   9.87E+04       0.04       0.22
[       256]   5.00E+04       0.05       0.08
[       512]   2.45E+04       0.11       0.83
[      1024]   1.24E+04       0.21       1.76
[      2048]   6.26E+03       0.30       2.81
[      4096]   2.91E+03       0.62       4.97
[      8192]   1.57E+03       1.33       6.64
[     16384]   8.61E+02       2.44      11.92
[     32768]   5.46E+02       2.87       8.98
[     65536]   3.12E+02       3.97      10.44
[    131072]   1.67E+02       4.53       7.92
[    262144]   8.65E+01       5.61      10.44
[    524288]   4.43E+01       6.07       7.70
[   1048576]   2.10E+01       6.84       7.24
[   2097152]   1.06E+01       6.95       9.75
[   4194304]   5.40E+00       6.77       9.11
[   8388608]   2.55E+00       6.23       5.65
[  16777216]   1.18E+00       5.71       5.50
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                                 
                  exp
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
[       len]  seq[MOPS]    par/seq OpenMP/seq
[        32]   2.70E+05       0.04       0.01
[        64]   1.27E+05       0.08       0.08
[       128]   6.39E+04       0.12       0.31
[       256]   3.11E+04       0.21       0.45
[       512]   1.59E+04       0.26       0.71
[      1024]   7.99E+03       0.41       0.34
[      2048]   4.02E+03       0.69       2.81
[      4096]   2.00E+03       0.85       3.98
[      8192]   9.89E+02       1.77       5.19
[     16384]   5.95E+02       2.63       2.67
[     32768]   3.34E+02       3.54       1.83
[     65536]   1.77E+02       4.51       2.81
[    131072]   9.12E+01       5.70       4.78
[    262144]   4.64E+01       6.38       3.88
[    524288]   2.33E+01       6.32       2.79
[   1048576]   1.17E+01       7.64       4.32
[   2097152]   5.81E+00       7.68       3.92
[   4194304]   2.85E+00       6.81       3.81
[   8388608]   1.34E+00       7.61       4.79
[  16777216]   6.14E-01       7.64       5.32
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                                 
             SqrtExpSinCos
vvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvvv
[       len]  seq[MOPS]    par/seq OpenMP/seq
[        32]   8.80E+04       0.11       0.25
[        64]   3.41E+04       0.32       0.66
[       128]   1.74E+04       0.31       0.96
[       256]   8.79E+03       0.62       1.75
[       512]   4.40E+03       1.03       1.83
[      1024]   2.05E+03       1.36       2.32
[      2048]   1.09E+03       1.91       3.64
[      4096]   6.21E+02       3.03       2.52
[      8192]   3.40E+02       3.95       8.99
[     16384]   1.78E+02       5.34       1.75
[     32768]   9.11E+01       5.62       2.61
[     65536]   4.62E+01       7.35       4.78
[    131072]   2.34E+01       7.97       5.44
[    262144]   1.17E+01       8.54       4.19
[    524288]   5.83E+00       9.00       4.56
[   1048576]   2.89E+00       8.95       4.37
[   2097152]   1.45E+00       9.02       5.24
[   4194304]   7.11E-01       8.01       5.32
[   8388608]   3.39E-01       9.04       4.84
[  16777216]   1.55E-01       8.64       4.68
^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                                                 
